freq,unit,schedule,tra_cov,tra_meas,geo\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,NAT,PAS_CRD,PL	164725 	163486 	143788 	141108 	125958 	125925 	142022 	147992 	172402 	177889 	171385 	168815 	168929 	155963 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,PT	633303 	560792 	433332 	422024 	390798 	382300 	484030 	584275 	598762 	649429 	704512 	746933 	643055 	575959 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,RO	75930 	81826 	80744 	64412 	57963 	70426 	88633 	84247 	93795 	84157 	83148 	74843 	87579 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,RS	814 	869 	758 	881 	982 	764 	1048 	1035 	917 	1053 	1268 	1354 	725 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,SE	405445 	399614 	342105 	315134 	278399 	311330 	366862 	340091 	382659 	365074 	262901 	342832 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,SI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
M,PAS,TOT,NAT,PAS_CRD,SK	264 	82 	157 	102 	51 	91 	127 	65 	48 	469 	457 	114 	84 	78 	5825 	16343 
M,PAS,TOT,NAT,PAS_CRD,TR	4109106 	3909227 	3727696 	3548017 	3784791 	3226786 	3357840 	4067540 	4244643 	4656440 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,AT	3355866 	3160072 	2424454 	2688257 	2289870 	2325430 	2647394 	3010696 	3109164 	3279435 	3589127 	3739538 	3450866 	3299257 	2549607 	: 
M,PAS,TOT,TOTAL,PAS_CRD,BA	209599 	166076 	136958 	127313 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,BE	3232677 	3121138 	2555119 	2626500 	2260125 	2288046 	2612673 	3010285 	3107181 	3161617 	3655850 	3688272 	3368914 	3334338 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,BG	1177579 	845340 	640843 	687382 	654229 	653430 	761062 	843516 	953105 	1243919 	1519651 	1600074 	1264268 	946536 	741565 	833051 
M,PAS,TOT,TOTAL,PAS_CRD,CH	5194812 	5256508 	3758763 	4406877 	3918701 	3987973 	4505092 	5045205 	4935816 	5196799 	5741092 	5809140 	5311062 	5561003 	3965382 	4754581 
M,PAS,TOT,TOTAL,PAS_CRD,CY	1405449 	1333632 	713615 	653924 	550318 	533743 	703802 	1156363 	1281209 	1432753 	1651332 	1801283 	1532431 	1483051 	859289 	: 
M,PAS,TOT,TOTAL,PAS_CRD,CZ	1864537 	1543416 	1197141 	1358985 	985591 	1036662 	1235595 	1412306 	1564520 	1946546 	2190468 	2208878 	1990735 	1715331 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,DE	19936016 	20060738 	14134310 	13860195 	11785398 	11629075 	14323410 	17540385 	18812337 	19521317 	20663515 	21723970 	20692378 	21201466 	14752451 	14594074 
M,PAS,TOT,TOTAL,PAS_CRD,DK	3347070 	3262808 	2464224 	2454886 	2207960 	2248923 	2533455 	2961670 	3234891 	3510875 	3800975 	3618356 	3483238 	3422672 	2663308 	2665272 
M,PAS,TOT,TOTAL,PAS_CRD,EE	331328 	335846 	248048 	260162 	219039 	216315 	262919 	279028 	310706 	325640 	322736 	331636 	310919 	348126 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL	9289439 	6693177 	2639123 	2504558 	2142439 	2048515 	2634157 	4376902 	7109052 	9441496 	11209682 	11656942 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,ES	25197576 	24040779 	17851439 	17858400 	16379810 	16608822 	19847289 	23152567 	24866062 	25949461 	27948699 	28537375 	25982288 	25220355 	18885506 	18743278 
M,PAS,TOT,TOTAL,PAS_CRD,EU27_2020	103730630 	96968112 	71626215 	73860921 	65573486 	65492607 	76777631 	91308280 	98429681 	104938900 	114209645 	: 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,FI	1509650 	1553356 	1372875 	1723962 	1435937 	1409726 	1488936 	1429653 	1560839 	1653882 	1666002 	1629654 	1537144 	1606351 	1416902 	1860639 
M,PAS,TOT,TOTAL,PAS_CRD,FR	15341835 	14936176 	11361822 	12652346 	11343969 	11297205 	12599023 	15065808 	15643991 	16077657 	17146183 	: 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,HR	1691905 	1099069 	384186 	358651 	307137 	292098 	388351 	933881 	1394936 	1833953 	2255381 	2261915 	1791686 	1198152 	418619 	: 
